 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.27867089    -0.01992786

 Atomic coordinates:
  1    -4.67937006     6.39516959     0.71714874
  2    -3.49757662     5.92186081    -0.77047356
  3    -5.57887891     8.08486756     0.27326325
  4     1.68837720    -1.51055382    -7.69219055
  5     2.76735558    -0.46528264    -6.58380664
  6    -0.10983793    -0.88798601    -7.35047973
  7     0.45953774     1.05400434     3.89279562
  8    -0.95070797     0.20784046     2.91810817
  9    -0.24030210     2.71784456     4.46692860
 10    -2.85524766    -4.02998220    -3.12319037
 11    -1.06523082    -4.72230998    -3.56048078
 12    -3.29220919    -2.70909108    -4.48703820
 13     2.40833962    -2.27681474     7.43947230
 14     1.89454720    -0.86910992     6.26397809
 15     0.86093818    -3.45076633     7.41117392
 16    -3.23384232    -1.32230502     1.27338132
 17    -4.78705829    -0.24266388     1.33855177
 18    -3.45100829    -2.31677391    -0.38014687
 19    -3.44866063    -0.32616959    -6.93542426
 20    -4.92102609     0.65641302    -6.03015926
 21    -3.92083229    -0.28352449    -8.81777375
 22     5.95208282    -3.39174565    -1.64915793
 23     7.84716330    -3.19077026    -1.50493635
 24     5.24914431    -3.93885727     0.07886089
 25    -0.41412565    -5.63042545     1.67747056
 26    -1.26370185    -3.91041883     1.73260309
 27    -0.55862419    -6.18824214    -0.15123749
 28     4.66700055     0.77683414    -4.11562616
 29     5.16958743    -0.85743777    -3.26998039
 30     4.09220937     1.97376880    -2.75686411
 31    -7.28394929     1.94445957     0.93618395
 32    -6.29081212     3.54565357     1.09999672
 33    -9.05964255     2.28932318     1.50482595
 34    -1.70420966    -5.48073452     6.84838799
 35    -1.40810406    -6.11706251     5.05846375
 36    -3.54186347    -5.62519021     7.29144021
 37     8.99614544    -1.10234668     2.20444745
 38     7.84502554    -2.51137312     2.61565697
 39     7.99602510     0.49069334     2.46270184
 40     2.00608349     7.82738690     2.27798346
 41     0.34988685     7.32917475     3.20440160
 42     2.55558828     9.45881227     3.09421035
 43    -1.74393052     4.48811704    -2.92340958
 44    -2.32928134     3.31705585    -4.25082752
 45     0.02752054     4.03349867    -2.45710187
 46    -7.00898233     2.46302183    -4.50610921
 47    -8.04349531     3.99575092    -4.97008484
 48    -7.42153412     2.08124332    -2.65923156
 49     2.73602527     3.36183122    -0.23110115
 50     2.94789959     5.07766087     0.63598540
 51     2.18841159     2.27365137     1.23784570
 52     4.44755541    -4.31052541     3.17622827
 53     2.80855064    -5.21685758     2.83961576
 54     4.26746301    -3.46424141     4.88800684
 55     2.03778914    -5.11910840    -4.36153716
 56     3.53456300    -4.45557316    -3.33199979
 57     1.98474183    -4.07342153    -5.98985715
 58    -2.13890293     5.59418708     5.04862562
 59    -3.54302702     5.79636982     6.33828473
 60    -3.00937881     5.67039992     3.28876564

 Atomic and electronic forces:
  1    -0.01495181     0.02442296    -0.00601687     0.00828026    -0.00271169    -0.00040346
  2    -0.00464650     0.00298892     0.00280573    -0.00344536     0.00117299     0.00064063
  3     0.02035792    -0.02898429     0.00289606    -0.00398985     0.00033359     0.00032369
  4    -0.03393048    -0.00533455    -0.01633167     0.00173206    -0.00126072    -0.00105731
  5     0.02594138     0.01759287     0.01619978    -0.00095785     0.00058089     0.00047578
  6     0.00668799    -0.00602907    -0.00590657    -0.00100944     0.00079054     0.00066627
  7     0.01169977    -0.00255917    -0.00071874     0.00330277    -0.00193540     0.00053421
  8    -0.00633048    -0.00837523    -0.00465412    -0.00172472     0.00125380    -0.00016737
  9    -0.00484316     0.01200522     0.00778964    -0.00200689     0.00096638    -0.00042093
 10     0.01200801     0.00694050    -0.00873926     0.00192039    -0.00253401    -0.00085084
 11    -0.01793735     0.00944224    -0.00182547    -0.00085322     0.00100959     0.00035345
 12     0.00798155    -0.01390698     0.00621576    -0.00107281     0.00132771     0.00063446
 13    -0.01175576    -0.00988945    -0.00218478     0.00188022    -0.00139551     0.00075695
 14     0.00020183     0.01064149    -0.00401034    -0.00116244     0.00077440    -0.00037541
 15     0.00939114     0.00003900     0.00677955    -0.00090844     0.00083440    -0.00040591
 16     0.00727996    -0.01062913    -0.00905363     0.00319861    -0.00338130    -0.00013642
 17    -0.01474048     0.01087655     0.00276871    -0.00193008     0.00217327     0.00008924
 18     0.00606330    -0.00024989     0.00333342    -0.00136211     0.00162694     0.00026562
 19    -0.02809958     0.01782241    -0.00398178     0.00238991    -0.00240862    -0.00197694
 20     0.02045767    -0.01310495    -0.01131221    -0.00146213     0.00157027     0.00126612
 21     0.00663901    -0.00267950     0.01877019    -0.00099562     0.00106453     0.00109122
 22    -0.00651393    -0.00505825    -0.00037821     0.00152751    -0.00101000    -0.00024154
 23    -0.00227469    -0.00084865     0.00643776    -0.00069760     0.00041091     0.00009491
 24     0.00997245     0.00349120    -0.00315111    -0.00078179     0.00056180     0.00005424
 25     0.00193784    -0.00469848    -0.00310168     0.00167630    -0.00200098     0.00003168
 26    -0.00228643     0.00233525     0.00106845    -0.00106767     0.00119423    -0.00001744
 27     0.00076067    -0.00088550     0.00564400    -0.00077841     0.00097989     0.00009922
 28    -0.00358097     0.00230701    -0.02437101     0.00206222    -0.00096144    -0.00063140
 29     0.00479204    -0.00568168     0.00776247    -0.00092575     0.00050507     0.00023440
 30    -0.00251490     0.00614667     0.01294719    -0.00122271     0.00050333     0.00028986
 31    -0.01008712    -0.01576992    -0.00547712     0.00546136    -0.00666271    -0.00057024
 32     0.00903364     0.01703784     0.00075281    -0.00323540     0.00260624     0.00017039
 33    -0.00036197    -0.00019866     0.00278353    -0.00181493     0.00363582    -0.00011227
