 Number of water molecules:
          20

 Atomic and electronic energies:
    -0.25143999    -0.02701467

 Atomic coordinates:
  1    -4.14437222     5.98158239     2.25952776
  2    -3.65395865     6.24666057     0.42117305
  3    -6.01988332     6.50134374     2.45072918
  4     1.34093423    -1.30834021    -8.37852365
  5     2.42826462    -0.05536571    -7.50077480
  6    -0.40515627    -0.57737863    -8.36313041
  7    -1.38458009     1.47369647     3.42025433
  8    -2.09123544     0.00969680     2.26793261
  9    -2.41009714     3.03383538     2.86796903
 10    -2.51749981    -4.49858683    -3.96476711
 11    -0.72002804    -5.04423881    -4.26544886
 12    -3.08342834    -3.63190541    -5.54651032
 13     1.48711461    -0.44449216     6.98553913
 14     0.44452663     0.36629074     5.53754237
 15     0.40766184    -1.89259460     7.53914403
 16    -3.77421880    -2.59866025     0.32779642
 17    -5.54042657    -1.82781875    -0.02911591
 18    -3.19188757    -3.37009318    -1.39302732
 19    -3.98981289    -0.89160539    -7.64043508
 20    -4.08734382     0.44435535    -6.20521120
 21    -5.77831056    -0.88379199    -8.33786732
 22     6.52041591    -4.09647123    -1.30705563
 23     8.24699840    -3.71859513    -0.51687169
 24     5.39303339    -3.99482090     0.24195554
 25    -0.07387430    -5.63868127     2.00927748
 26    -1.57802288    -4.52773541     1.31480592
 27     0.37785302    -6.76087057     0.53606350
 28     4.00572964     1.15189058    -4.67786441
 29     4.84928213    -0.24409737    -3.73536596
 30     3.26947463     2.24157945    -3.32316652
 31    -7.92851959    -0.06333098     0.15494068
 32    -7.94246955     1.12849803     1.60648582
 33    -9.68063450    -0.69678508     0.00596436
 34    -1.94102760    -4.51554658     6.81784843
 35    -1.32078441    -5.02506248     5.06774967
 36    -3.67491515    -5.25337564     6.96210993
 37     9.09746366    -2.26499355     3.09862955
 38     9.33455962    -0.93882111     4.40154511
 39     7.32985553    -3.03787624     3.36677992
 40     3.82671390     7.28662424     2.63821727
 41     2.28780235     7.27162958     3.80728081
 42     4.44057489     9.06005611     2.88415769
 43    -2.09061025     6.12956338    -2.42934380
 44    -3.05465068     4.82696251    -3.39646831
 45    -0.49499786     5.45450210    -1.81968904
 46    -6.14397736     2.38872290    -3.98596773
 47    -7.48608412     3.63804864    -4.47565678
 48    -6.84146701     1.37146185    -2.56091730
 49     1.96316975     3.67754852    -0.32950331
 50     3.06755698     4.83219969     0.72620953
 51     0.86285429     2.70344074     0.87242983
 52     4.27310785    -3.29241459     3.79515982
 53     2.72817539    -4.18338455     3.02450333
 54     3.57077095    -2.10932521     5.21659850
 55     2.56930493    -5.61082250    -4.77953458
 56     4.20496779    -5.48634859    -3.87054340
 57     2.69052715    -4.47443784    -6.35725083
 58    -0.11949617     6.87812353     5.88663767
 59    -0.47591934     5.73680085     7.33834778
 60    -1.76143153     6.91005705     4.79409873

 Atomic and electronic forces:
  1    -0.03299668     0.00023780     0.01351515     0.00910905     0.00244415     0.00130570
  2     0.00461792     0.00479717    -0.00536123    -0.00407116    -0.00114785     0.00020226
  3     0.03168048    -0.00482635    -0.00497038    -0.00455535    -0.00216096    -0.00110797
  4    -0.00523100    -0.01559119    -0.00998832     0.00235845    -0.00079164    -0.00145288
  5     0.01676853     0.01230709     0.01375563    -0.00122980     0.00028428     0.00063803
  6    -0.01013669    -0.00403304    -0.00231485    -0.00139231     0.00045134     0.00096174
  7    -0.02991902    -0.01706731    -0.04550082     0.00584409    -0.00108689     0.00120167
  8     0.01418562     0.02314803     0.02569626    -0.00302531     0.00102374    -0.00033716
  9     0.00851391    -0.00675636     0.01123928    -0.00360243     0.00019835    -0.00061921
 10    -0.00689003    -0.00352971     0.01284067     0.00337700    -0.00252738    -0.00141398
 11     0.01444148    -0.00498343    -0.00506141    -0.00139968     0.00096740     0.00054431
 12    -0.00120665     0.00698287    -0.01448073    -0.00172043     0.00121003     0.00100847
 13     0.00042309     0.01180249    -0.01503032     0.00304635    -0.00084839     0.00131885
 14     0.00855020     0.00090501     0.01191387    -0.00195973     0.00047079    -0.00068195
 15    -0.00873788    -0.01359372     0.00793291    -0.00149521     0.00061509    -0.00076673
 16     0.00367346     0.00042595    -0.00647579     0.00553244    -0.00366382    -0.00036515
 17     0.01446575    -0.00506796     0.00637474    -0.00337189     0.00243905     0.00042928
 18    -0.00813417     0.00508431     0.00744251    -0.00229885     0.00159053     0.00048273
 19    -0.01918462     0.02445279     0.02110334     0.00373440    -0.00176978    -0.00314155
 20     0.00391065    -0.01663051    -0.01598392    -0.00241610     0.00083089     0.00171024
 21     0.01291332    -0.00551574    -0.00296968    -0.00175134     0.00103706     0.00201794
 22     0.00669992     0.00446435     0.01789619     0.00186625    -0.00073092    -0.00018627
 23    -0.00639370    -0.00147408    -0.01170128    -0.00083632     0.00028575     0.00004503
 24    -0.00275586    -0.00061886    -0.00705413    -0.00104863     0.00043043     0.00002389
 25    -0.02634782     0.02046531    -0.01611460     0.00286261    -0.00202526     0.00027480
 26     0.02382936    -0.01545185     0.01507277    -0.00183914     0.00128911    -0.00007486
 27     0.00256308    -0.00298145     0.00135563    -0.00124674     0.00095699     0.00001529
 28    -0.00132484    -0.00227519    -0.00724395     0.00260636    -0.00036190    -0.00081037
 29     0.00838113    -0.00980911     0.00105124    -0.00120842     0.00025473     0.00029590
 30    -0.00622659     0.01351881     0.00993118    -0.00153372     0.00012140     0.00037400
 31    -0.00014001     0.00727328    -0.00951076     0.00919423    -0.00716276    -0.00175493
 32     0.00431435     0.00767223     0.01275057    -0.00440915     0.00275765    -0.00038922
 33    -0.01730675    -0.01096099    -0.00309001    -0.00263418     0.00399597     0.00073540
 34    -0.00082755    -0.00029301    -0.00762178     0.00298162    -0.00218833     0.00165712
 35     0.00554571     0.00014391     0.00333989    -0.00152989     0.00112461    -0.00056254
 36    -0.00183994    -0.00040787     0.00445015    -0.00144478     0.00139101    -0.00099764
 37    -0.00329051    -0.01474856    -0.01030497     0.00162782    -0.00042652     0.00018495
 38     0.00016022     0.00703473     0.00730766    -0.00081385     0.00016179    -0.00013970
 39     0.00768905     0.00992284     0.00363376    -0.00091317     0.00029595    -0.00012376
 40    -0.00785515     0.01299767     0.00887390     0.00290133     0.00066856     0.00033054
 41    -0.00043605    -0.01302882     0.00197743    -0.00168667    -0.00042397    -0.00033662
 42     0.01066028     0.00024346    -0.00656263    -0.00125937    -0.00041529    -0.00015969
 43    -0.04629727     0.02648146    -0.00672198     0.00599504     0.00136865    -0.00171160
 44     0.00171458    -0.00866639    -0.00540747    -0.00325617    -0.00036696     0.00130949
 45     0.04142113    -0.01994317     0.00939477    -0.00256380    -0.00038237     0.00052531
 46     0.00893088     0.01331355    -0.01777035     0.00820336    -0.00173371    -0.00512723
 47     0.00082456     0.00102108    -0.00173112    -0.00356282     0.00005439     0.00330460
